,combinations,train accuracy,val accuracy
84,"(200, 4000, 128, 0.001, 0.01)",0.6353265306122449,0.525
85,"(200, 4000, 128, 0.001, 0.001)",0.6383673469387755,0.528
86,"(200, 4000, 128, 0.001, 0.0001)",0.6389387755102041,0.535
87,"(200, 4000, 128, 0.0001, 0.01)",0.43514285714285716,0.449
88,"(200, 4000, 128, 0.0001, 0.001)",0.4353265306122449,0.449
89,"(200, 4000, 128, 0.0001, 0.0001)",0.4352244897959184,0.45
90,"(200, 4000, 256, 0.01, 0.01)",0.10026530612244898,0.087
91,"(200, 4000, 256, 0.01, 0.001)",0.10026530612244898,0.087
92,"(200, 4000, 256, 0.01, 0.0001)",0.10026530612244898,0.087
93,"(200, 4000, 256, 0.001, 0.01)",0.6648163265306123,0.531
94,"(200, 4000, 256, 0.001, 0.001)",0.6648571428571428,0.53
95,"(200, 4000, 256, 0.001, 0.0001)",0.6659387755102041,0.544
96,"(200, 4000, 256, 0.0001, 0.01)",0.41220408163265304,0.418
97,"(200, 4000, 256, 0.0001, 0.001)",0.4122857142857143,0.42
98,"(200, 4000, 256, 0.0001, 0.0001)",0.4123061224489796,0.42
99,"(200, 4000, 512, 0.01, 0.01)",0.10026530612244898,0.087
100,"(200, 4000, 512, 0.01, 0.001)",0.10026530612244898,0.087
101,"(200, 4000, 512, 0.01, 0.0001)",0.10026530612244898,0.087
102,"(200, 4000, 512, 0.001, 0.01)",0.6317142857142857,0.538
103,"(200, 4000, 512, 0.001, 0.001)",0.6327551020408163,0.534
104,"(200, 4000, 512, 0.001, 0.0001)",0.6330816326530613,0.536
105,"(200, 4000, 512, 0.0001, 0.01)",0.3720204081632653,0.373
106,"(200, 4000, 512, 0.0001, 0.001)",0.3720204081632653,0.373
107,"(200, 4000, 512, 0.0001, 0.0001)",0.37195918367346936,0.373
108,"(300, 3000, 128, 0.01, 0.01)",0.10026530612244898,0.087
109,"(300, 3000, 128, 0.01, 0.001)",0.10026530612244898,0.087
110,"(300, 3000, 128, 0.01, 0.0001)",0.10026530612244898,0.087
111,"(300, 3000, 128, 0.001, 0.01)",0.6120816326530613,0.51
112,"(300, 3000, 128, 0.001, 0.001)",0.6134693877551021,0.526
113,"(300, 3000, 128, 0.001, 0.0001)",0.6117142857142858,0.52
114,"(300, 3000, 128, 0.0001, 0.01)",0.41585714285714287,0.43
115,"(300, 3000, 128, 0.0001, 0.001)",0.4159795918367347,0.428
116,"(300, 3000, 128, 0.0001, 0.0001)",0.41606122448979593,0.429
117,"(300, 3000, 256, 0.01, 0.01)",0.10026530612244898,0.087
118,"(300, 3000, 256, 0.01, 0.001)",0.10026530612244898,0.087
119,"(300, 3000, 256, 0.01, 0.0001)",0.10026530612244898,0.087
120,"(300, 3000, 256, 0.001, 0.01)",0.6379591836734694,0.528
121,"(300, 3000, 256, 0.001, 0.001)",0.64,0.524
122,"(300, 3000, 256, 0.001, 0.0001)",0.6413877551020408,0.539
123,"(300, 3000, 256, 0.0001, 0.01)",0.39853061224489794,0.393
124,"(300, 3000, 256, 0.0001, 0.001)",0.3986938775510204,0.393
125,"(300, 3000, 256, 0.0001, 0.0001)",0.39879591836734696,0.393
126,"(300, 3000, 512, 0.01, 0.01)",0.10026530612244898,0.087
127,"(300, 3000, 512, 0.01, 0.001)",0.10026530612244898,0.087
128,"(300, 3000, 512, 0.01, 0.0001)",0.10026530612244898,0.087
129,"(300, 3000, 512, 0.001, 0.01)",0.6215510204081632,0.543
130,"(300, 3000, 512, 0.001, 0.001)",0.6235510204081632,0.543
131,"(300, 3000, 512, 0.001, 0.0001)",0.6236734693877551,0.538
132,"(300, 3000, 512, 0.0001, 0.01)",0.367,0.374
133,"(300, 3000, 512, 0.0001, 0.001)",0.3669591836734694,0.374
134,"(300, 3000, 512, 0.0001, 0.0001)",0.3669795918367347,0.374
135,"(300, 4000, 128, 0.01, 0.01)",0.10026530612244898,0.087
136,"(300, 4000, 128, 0.01, 0.001)",0.10026530612244898,0.087
137,"(300, 4000, 128, 0.01, 0.0001)",0.10026530612244898,0.087
138,"(300, 4000, 128, 0.001, 0.01)",0.643673469387755,0.528
139,"(300, 4000, 128, 0.001, 0.001)",0.6496530612244898,0.526
140,"(300, 4000, 128, 0.001, 0.0001)",0.6445510204081633,0.529
141,"(300, 4000, 128, 0.0001, 0.01)",0.4390816326530612,0.439
142,"(300, 4000, 128, 0.0001, 0.001)",0.4392857142857143,0.442
143,"(300, 4000, 128, 0.0001, 0.0001)",0.4392244897959184,0.441
144,"(300, 4000, 256, 0.01, 0.01)",0.10026530612244898,0.087
145,"(300, 4000, 256, 0.01, 0.001)",0.10026530612244898,0.087
146,"(300, 4000, 256, 0.01, 0.0001)",0.10026530612244898,0.087
147,"(300, 4000, 256, 0.001, 0.01)",0.6790816326530612,0.547
148,"(300, 4000, 256, 0.001, 0.001)",0.6804081632653062,0.535
149,"(300, 4000, 256, 0.001, 0.0001)",0.6817142857142857,0.536
150,"(300, 4000, 256, 0.0001, 0.01)",0.4167142857142857,0.426
151,"(300, 4000, 256, 0.0001, 0.001)",0.4169591836734694,0.426
152,"(300, 4000, 256, 0.0001, 0.0001)",0.4170204081632653,0.426
153,"(300, 4000, 512, 0.01, 0.01)",0.10026530612244898,0.087
154,"(300, 4000, 512, 0.01, 0.001)",0.10026530612244898,0.087
155,"(300, 4000, 512, 0.01, 0.0001)",0.10026530612244898,0.087
156,"(300, 4000, 512, 0.001, 0.01)",0.6421020408163265,0.548
157,"(300, 4000, 512, 0.001, 0.001)",0.6438367346938776,0.551
158,"(300, 4000, 512, 0.001, 0.0001)",0.6444285714285715,0.546
159,"(300, 4000, 512, 0.0001, 0.01)",0.37595918367346937,0.379
160,"(300, 4000, 512, 0.0001, 0.001)",0.3759183673469388,0.379
161,"(300, 4000, 512, 0.0001, 0.0001)",0.3759183673469388,0.379
